"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Aerith Gainsborough","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","4","False","False","10.31"
"1","1","Aerith Rescue Mission","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","5","False","False","0.52"
"3","3","Aerith Rescue Mission","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","5","False","False","0.37"
"1","1","Aesi, Tyrant of Gyre Strait","dsc","Near Mint","English","","","2026-04-14 18:13:59.323000","210","False","False",""
"1","1","Aether Channeler","dmu","Near Mint","English","","","2026-03-08 12:49:55.150000","42","False","True",""
"1","1","Aether Hub","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","317","False","False",""
"1","1","Aether Hub","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","317","False","False",""
"1","1","Aether Refinery","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","106","False","False",""
"1","1","Aether Refinery","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","106","False","False",""
"1","1","Aether Revolt","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","113","False","False","1.27"
"1","1","Aether Spellbomb","j22","Near Mint","English","","","2026-03-08 12:49:59.760000","752","False","True",""
"3","3","Aether Spike","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","50","False","False","0.60"
"1","1","Aetherflux Reservoir","pkld","Near Mint","English","foil","","2026-03-08 12:50:04.193000","192s","False","True",""
"1","1","Aethergeode Miner","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","163","False","False",""
"1","1","Aethergeode Miner","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","163","False","False",""
"1","1","Aetherize","lcc","Near Mint","English","","","2026-03-07 12:43:40.187000","142","False","True",""
"1","1","Aethersphere Harvester","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","280","False","False",""
"1","1","Aethersphere Harvester","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","280","False","False",""
"1","1","Aethersquall Ancient","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","174","False","False",""
"1","1","Aethersquall Ancient","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","174","False","False",""
"1","1","Aetherstorm Roc","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","164","False","False",""
"1","1","Aetherstorm Roc","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","164","False","False",""
"1","1","Aethertide Whale","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","175","False","False",""
"1","1","Aethertide Whale","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","175","False","False",""
"1","1","Aetherworks Marvel","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","281","False","False",""
"1","1","Aetherworks Marvel","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","281","False","False",""
"1","1","Afterlife from the Loam","tdc","Near Mint","English","","","2025-04-08 16:08:38.530000","25","False","False",""
"1","1","Afterlife from the Loam","tdc","Near Mint","English","","","2025-12-25 18:47:54.260000","25","False","False",""
"2","2","Agadeem's Awakening // Agadeem, the Undercrypt","znr","Near Mint","English","","","2026-04-14 17:22:47.290000","90","False","True",""
"2","2","Agadeem's Awakening // Agadeem, the Undercrypt","znr","Near Mint","English","","","2026-04-24 19:17:35.287000","90","False","False",""
"1","1","Agent Frank Horrigan","pip","Near Mint","English","","","2025-12-25 18:47:44.880000","89","False","False",""
"1","1","Agent Frank Horrigan","pip","Near Mint","English","","","2025-04-08 16:10:20.207000","89","False","False",""
"1","1","Agent of the Iron Throne","clb","Near Mint","English","","","2026-02-15 09:04:52.960000","107","False","True",""
"2","2","Aggravated Assault","wot","Near Mint","English","foil","","2026-04-13 16:33:51.997000","76","False","True",""
"1","1","Agna Qel'a","tla","Near Mint","English","","","2026-01-20 19:31:21.937000","264","False","True",""
"4","4","Ahriman","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","87","False","False","0.45"
"6","6","Ahriman","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","87","False","False","0.44"
"1","1","Ainok Bond-Kin","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","7","False","False","0.45"
"2","2","Air Nomad Legacy","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","206","False","False","0.90"
"1","1","Airbender Ascension","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","6","False","False","8.37"
"2","2","Airbender's Reversal","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","7","False","False","1.12"
"4","4","Airbending Lesson","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","8","False","False","0.60"
"1","1","Airship Crash","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","171","False","False","0.37"
"1","1","Airship Engine Room","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","265","False","False","0.45"
"1","1","Ajani Fells the Godsire","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","19","False","False","0.52"
"1","1","Akiri, Fearless Voyager","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","335","False","False","4.93"
"1","1","Akroma's Memorial","tsr","Near Mint","English","","","2026-03-08 12:50:13.957000","262","False","True",""
"1","1","Akroma's Will","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","165","False","False",""
"1","1","Akroma's Will","m3c","Near Mint","English","","","2026-03-06 07:17:36.127000","165","False","True",""
"1","1","Akroma's Will","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","165","False","False",""
"2","2","Al Bhed Salvagers","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","88","False","False","0.97"
"3","3","Al Bhed Salvagers","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","88","False","False","1.02"
"1","1","Alania, Divergent Storm","blb","Near Mint","English","","","2026-04-05 09:10:22.557000","204","False","True",""
"1","1","Alchemist's Refuge","lcc","Near Mint","English","","","2026-04-24 19:17:35.287000","318","False","False",""
"1","1","Alchemist's Talent","blc","Near Mint","English","","","2025-12-25 18:44:52.140000","22","False","False",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","English","","","2026-04-14 18:13:59.323000","115","False","False",""
"1","1","Alesha, Who Smiles at Death","c20","Near Mint","English","","","2026-04-14 18:13:59.323000","143","False","False",""
"1","1","Aligned Heart","tdc","Near Mint","English","","","2025-12-25 18:47:35.310000","12","False","False",""
"1","1","Aligned Heart","tdc","Near Mint","English","","","2025-04-08 16:09:19.083000","12","False","False",""
"1","1","All Is Dust","m3c","Near Mint","English","","","2025-08-23 13:48:13.713000","152","False","False",""
"1","1","All That Glitters","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","9","False","False","2.62"
"1","1","All That Glitters","eld","Near Mint","English","foil","","2025-08-23 13:51:16.910000","2","False","False",""
"1","1","All That Glitters","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","622","False","False","2.54"
"1","1","All Will Be One","one","Near Mint","English","foil","","2026-04-14 18:13:59.323000","352","False","False",""
"1","1","All Will Be One","one","Near Mint","English","","","2025-08-23 13:49:11.057000","118","False","False",""
"1","1","All-Fates Scroll","eoe","Near Mint","English","","","2026-03-07 21:10:57.633000","234","False","True",""
"3","3","Allies at Last","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","164","False","False","0.82"
"1","1","Alms Collector","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","10","False","False","4.48"
"1","1","Alpha Deathclaw","pip","Near Mint","English","","","2025-04-08 16:10:20.207000","91","False","False",""
"1","1","Alpha Deathclaw","pip","Near Mint","English","","","2025-12-25 18:47:44.880000","91","False","False",""
"1","1","Alrund's Epiphany","khm","Near Mint","English","","","2025-08-23 13:48:33.477000","295","False","False",""
"1","1","Altar of Dementia","cns","Near Mint","English","","","2026-03-03 16:53:15.783000","196","False","True",""
"1","1","Altar of the Brood","ktk","Near Mint","English","","","2026-04-14 17:52:53.257000","216","False","True",""
"1","1","Altar of the Goyf","m3c","Near Mint","English","","","2026-02-12 18:59:33.250000","282","False","False","0.82"
"1","1","Amarant Coral","fic","Near Mint","English","foil","","2026-02-12 19:00:18.123000","457","False","False","16.29"
"1","1","Ambrosia Whiteheart","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","6","False","False","0.75"
"1","1","Ambrosia Whiteheart","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","6","False","False","0.75"
"1","1","Aminatou's Augury","c18","Near Mint","English","","","2025-08-23 13:48:33.477000","6","False","False",""
"1","1","Amped Raptor","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","114","False","False","1.72"
"1","1","Amped Raptor","mh3","Near Mint","English","","","2025-12-25 18:47:18.820000","114","False","False",""
"1","1","Amped Raptor","mh3","Near Mint","English","","","2025-04-08 16:12:26.480000","114","False","False",""
"1","1","Amphibian Downpour","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","51","False","False","11.58"
"1","1","Amphin Mutineer","tdc","Near Mint","English","","","2025-12-25 18:47:54.260000","143","False","False",""
"1","1","Amphin Mutineer","tdc","Near Mint","English","","","2025-04-08 16:08:38.530000","143","False","False",""
"1","1","Amulet of Vigor","wwk","Near Mint","English","","","2026-03-07 21:11:01.760000","121","False","True",""
"1","1","An Offer You Can't Refuse","snc","Near Mint","English","","","2026-02-12 18:59:45.910000","51","False","False","14.87"
"1","1","An Offer You Can't Refuse","blc","Near Mint","English","","","2025-12-25 18:44:26.810000","170","False","False",""
"4","4","An Offer You Can't Refuse","blc","Near Mint","English","","","2026-04-14 17:51:14.423000","170","False","True",""
"1","1","An Offer You Can't Refuse","snc","Near Mint","English","","","2026-03-08 12:48:53.113000","51","False","False",""
"1","1","Anafenza, Kin-Tree Spirit","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","11","False","False","1.20"
"1","1","Anax, Hardened in the Forge","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","204","False","False","0.90"
"2","2","Ancestral Blade","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","12","False","False","0.37"
"1","1","Ancestral Vision","tdc","Near Mint","English","","","2025-04-08 16:09:19.083000","144","False","False",""
"1","1","Ancestral Vision","tdc","Near Mint","English","","","2025-12-25 18:47:35.310000","144","False","False",""
"1","1","Ancient Brass Dragon","clb","Near Mint","English","","","2026-04-14 18:13:59.323000","389","False","False",""
"1","1","Ancient Bronze Dragon","clb","Near Mint","English","","","2026-04-14 18:13:59.323000","406","False","False",""
"1","1","Ancient Copper Dragon","clb","Near Mint","English","","","2026-04-14 18:13:59.323000","396","False","False",""
"1","1","Ancient Gold Dragon","clb","Near Mint","English","","","2026-04-14 18:13:59.323000","376","False","False",""
"1","1","Ancient Silver Dragon","clb","Near Mint","English","","","2026-04-14 18:13:59.323000","382","False","False",""
"1","1","Ancient Tomb","tmp","Near Mint","English","","","2025-08-23 13:51:16.910000","315","False","False",""
"1","1","Andúril, Narsil Reforged","ltc","Near Mint","English","foil","","2026-02-12 18:59:45.910000","491","False","False","48.86"
"1","1","Angel of Glory's Rise","mic","Near Mint","English","","","2026-03-06 07:25:37.723000","79","False","True",""
"1","1","Angel of Indemnity","otc","Near Mint","English","","","2025-08-23 13:50:26.263000","9","False","False",""
"1","1","Angel of Invention","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","166","False","False",""
"1","1","Angel of Invention","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","166","False","False",""
"2","2","Angel of Sanctions","drc","Near Mint","English","","","2025-12-25 18:47:26.150000","62","False","False",""
"1","1","Angel of Sanctions","drc","Near Mint","English","","","2025-04-08 17:35:21.267000","62","False","False",""
"2","2","Angel of the Ruins","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","262","False","False","1.27"
"1","1","Angelic Destiny","m12","Near Mint","English","","","2025-08-23 13:51:16.910000","3","False","False",""
"1","1","Animal Magnetism","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","271","False","False","0.30"
"1","1","Animate Dead","3ed","Near Mint","English","","","2026-04-24 19:18:57.867000","93","False","False",""
"2","2","Animate Dead","mkc","Near Mint","English","","","2026-04-14 17:28:07.153000","125","False","True",""
"1","1","Annie Joins Up","otj","Near Mint","English","","","2026-03-07 21:28:21.813000","191","False","True",""
"2","2","Annoyed Altisaur","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","284","False","False","0.82"
"2","2","Anointed Procession","akh","Near Mint","English","","","2026-04-24 19:16:57.227000","2","False","False",""
"1","1","Anticausal Vestige","eoe","Near Mint","English","","","2025-08-23 13:50:26.263000","1","False","False",""
"1","1","Aphotic Wisps","plst","Near Mint","English","","","2026-01-20 20:12:21.300000","SHM-55","False","True",""
"1","1","Appa, Loyal Sky Bison","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","9","False","False","0.67"
"1","1","Appa, Steadfast Guardian","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","10","False","False","102.48"
"1","1","Appa, the Vigilant","tle","Near Mint","English","","","2026-01-20 19:17:04.120000","62","False","True",""
"1","1","Arachnogenesis","dsc","Near Mint","English","","","2026-02-15 09:21:30.693000","169","False","True",""
"1","1","Aragorn, Hornburg Hero","ltc","Near Mint","English","foil","","2026-02-12 18:59:45.910000","492","False","False","8.59"
"1","1","Aragorn, the Uniter","ltr","Near Mint","English","","","2026-02-12 18:59:45.910000","192","False","False","34.22"
"1","1","Arbor Adherent","tdc","Near Mint","English","","","2025-08-23 13:49:47.327000","82","False","False",""
"1","1","Arcane Bombardment","snc","Near Mint","English","","","2026-02-22 20:43:54.067000","101","False","True",""
"1","1","Arcane Denial","drc","Near Mint","English","","","2026-03-08 12:48:53.113000","70","False","False",""
"1","1","Arcane Denial","drc","Near Mint","English","","","2026-02-12 18:59:45.910000","70","False","False","17.48"
"1","1","Arcane Denial","ltc","Near Mint","English","","","2025-08-23 13:49:11.057000","184","False","False",""
"1","1","Arcane Melee","c13","Near Mint","English","","","2026-03-01 15:11:23.657000","29","False","False","2.09"
"1","1","Arcane Sanctum","drc","Near Mint","English","","","2025-04-08 17:35:21.267000","146","False","False",""
"2","2","Arcane Sanctum","drc","Near Mint","English","","","2025-12-25 18:47:26.150000","146","False","False",""
"2","2","Arcane Signet","tdc","Near Mint","English","","","2025-12-25 18:47:54.260000","105","False","False",""
"1","1","Arcane Signet","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","283","False","False",""
"1","1","Arcane Signet","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","283","False","False",""
"1","1","Arcane Signet","tmc","Near Mint","English","","","2026-03-06 07:12:19.620000","57","False","True",""
"1","1","Arcane Signet","drc","Near Mint","English","","","2025-04-08 17:35:21.267000","51","False","False",""
"1","1","Arcane Signet","cmm","Near Mint","English","foil","","2026-03-01 15:11:23.657000","653","False","False","80.27"
"2","2","Arcane Signet","drc","Near Mint","English","","","2025-12-25 18:47:26.150000","51","False","False",""
"1","1","Arcane Signet","tle","Near Mint","English","","","2026-01-02 19:17:04.463000","315","False","False","14.64"
"1","1","Arcane Signet","tdc","Near Mint","English","","","2026-03-08 12:48:53.113000","105","False","False",""
"2","2","Arcane Signet","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","653","False","False","26.46"
"1","1","Arcane Signet","eld","Near Mint","English","","","2025-08-23 13:50:26.263000","331","False","False",""
"1","1","Arcane Signet","pip","Near Mint","English","","","2025-04-08 16:10:20.207000","224","False","False",""
"1","1","Arcane Signet","ltc","Near Mint","English","","","2025-08-23 13:49:11.057000","273","False","False",""
"2","2","Arcane Signet","blc","Near Mint","English","","","2025-12-25 18:44:52.140000","127","False","False",""
"1","1","Arcane Signet","m3c","Near Mint","English","","","2026-03-01 15:11:23.657000","283","False","False","2.62"
"1","1","Arcane Signet","woc","Near Mint","English","","","2025-08-23 13:48:33.477000","145","False","False",""
"2","2","Arcane Signet","tdc","Near Mint","English","","","2025-04-08 16:09:19.083000","105","False","False",""
"1","1","Arcane Signet","sld","Near Mint","English","","","2025-08-23 13:49:47.327000","1492","False","False",""
"1","1","Arcane Signet","pip","Near Mint","English","","","2025-12-25 18:47:44.880000","224","False","False",""
"3","3","Arcbound Condor","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","81","False","False","1.05"
"1","1","Arcbound Mouser","mh2","Near Mint","English","","","2026-02-12 18:59:33.250000","3","False","False","1.05"
"1","1","Arcbound Prototype","mh2","Near Mint","English","","","2026-02-12 18:59:33.250000","4","False","False","0.67"
"1","1","Arcbound Slasher","mh2","Near Mint","English","","","2026-02-12 18:59:33.250000","111","False","False","0.67"
"1","1","Arch of Orazca","rix","Near Mint","English","","","2025-08-23 13:48:13.713000","185","False","False",""
"1","1","Archfiend of Despair","bbd","Near Mint","English","","","2026-04-14 18:13:59.323000","44","False","False",""
"2","2","Archfiend of Ifnir","drc","Near Mint","English","","","2025-12-25 18:47:26.150000","86","False","False",""
"1","1","Archfiend of Ifnir","drc","Near Mint","English","","","2025-04-08 17:35:21.267000","86","False","False",""
"1","1","Archivist of Oghma","clb","Near Mint","English","","","2026-02-22 21:03:20.157000","4","False","True",""
"1","1","Archmage Emeritus","tdc","Near Mint","English","","","2025-12-25 18:47:35.310000","145","False","False",""
"1","1","Archmage Emeritus","tdc","Near Mint","English","","","2025-04-08 16:09:19.083000","145","False","False",""
"1","1","Archon of Cruelty","m3c","Near Mint","English","","","2026-04-24 19:17:35.287000","197","False","False",""
"1","1","Archway of Innovation","mh3","Near Mint","English","","","2026-03-08 12:48:53.113000","214","False","False",""
"1","1","Archway of Innovation","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","214","False","False","6.80"
"1","1","Arcum's Astrolabe","mh1","Near Mint","English","","","2025-08-23 13:50:26.263000","220","False","False",""
"1","1","Ardyn, the Usurper","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","379","False","False","14.34"
"1","1","Ardyn, the Usurper","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","315","False","False","21.51"
"1","1","Ardyn, the Usurper","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","315","False","False","21.51"
"1","1","Ardyn, the Usurper","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","379","False","False","14.34"
"1","1","Arena of Glory","mh3","Near Mint","English","","","2025-08-23 13:49:47.327000","351","False","False",""
"1","1","Arena of Glory","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","215","False","False","96.47"
"1","1","Argent Dais","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","20","False","False","1.12"
"1","1","Arid Mesa","mh2","Near Mint","English","","","2026-04-17 19:40:46.677000","475","False","False",""
"3","3","Arid Mesa","mh2","Near Mint","English","","","2026-04-24 19:16:57.227000","244","False","False",""
"4","4","Arid Mesa","mh2","Near Mint","English","","","2026-03-07 12:26:00.623000","244","False","True",""
"1","1","Armorcraft Judge","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","273","False","False","1.12"
"1","1","Artisan of Kozilek","uma","Near Mint","English","","","2025-08-23 13:48:13.713000","2","False","False",""
"1","1","Ash Barrens","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","419","False","False","0.82"
"2","2","Ash Barrens","drc","Near Mint","English","","","2025-12-25 18:47:26.150000","147","False","False",""
"1","1","Ash Barrens","drc","Near Mint","English","","","2025-04-08 17:35:21.267000","147","False","False",""
"1","1","Ash Barrens","tdc","Near Mint","English","","","2025-12-25 18:47:35.310000","339","False","False",""
"1","1","Ash Barrens","tdc","Near Mint","English","","","2026-03-06 07:09:45.103000","339","False","True",""
"1","1","Ash Barrens","pip","Near Mint","English","","","2025-04-08 16:10:20.207000","253","False","False",""
"1","1","Ash Barrens","tdc","Near Mint","English","","","2025-04-08 16:09:19.083000","339","False","False",""
"1","1","Ash Barrens","pip","Near Mint","English","","","2025-12-25 18:47:44.880000","253","False","False",""
"2","2","Ashaya, Soul of the Wild","dsc","Near Mint","English","","","2026-03-07 21:11:48.090000","170","False","True",""
"1","1","Ashe, Princess of Dalmasca","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","7","False","False","1.05"
"1","1","Ashe, Princess of Dalmasca","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","7","False","False","1.05"
"1","1","Ashling the Pilgrim","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","205","False","False","1.57"
"1","1","Ashling, Flame Dancer","mh3","Near Mint","English","","","2025-08-23 13:48:33.477000","115","False","False",""
"1","1","Ashnod's Altar","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","368","False","False","78.47"
"1","1","A-Sorcerer Class","afr","Near Mint","English","","","2026-02-22 20:44:12.083000","A-233","False","True",""
"2","2","Assassin's Trophy","2x2","Near Mint","English","","","2026-04-14 17:51:24.747000","175","False","True",""
"1","1","Assault on Osgiliath","ltr","Near Mint","English","","","2026-03-05 19:30:33.273000","285","False","False","2.62"
"1","1","Assault Suit","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","369","False","False","1.05"
"1","1","Assemble the Players","mkm","Near Mint","English","","","2026-03-05 19:30:33.273000","3","False","False","2.17"
"1","1","Astrologian's Planisphere","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","46","False","False","2.76"
"1","1","Astrologian's Planisphere","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","46","False","False","2.76"
"1","1","Atmospheric Greenhouse","eoe","Near Mint","English","","","2026-02-12 18:59:45.910000","171","False","False","0.52"
"1","1","Atomize","pip","Near Mint","English","","","2025-12-25 18:47:44.880000","94","False","False",""
"1","1","Atomize","pip","Near Mint","English","","","2025-04-08 16:10:20.207000","94","False","False",""
"1","1","Atraxa, Grand Unifier","pone","Near Mint","English","","","2026-04-24 19:18:57.867000","196p","False","False",""
"1","1","Auron's Inspiration","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","8","False","False","0.45"
"1","1","Auron's Inspiration","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","8","False","False","0.45"
"1","1","Aurora Shifter","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","97","False","False",""
"1","1","Aurora Shifter","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","97","False","False",""
"1","1","Auroral Procession","tdm","Near Mint","English","foil","","2026-03-07 12:44:16.440000","169","False","True",""
"1","1","Austere Command","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","167","False","False",""
"1","1","Austere Command","plst","Near Mint","English","","","2026-03-06 07:17:11.067000","MKC-56","False","True",""
"1","1","Austere Command","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","167","False","False",""
"1","1","Avacyn, Angel of Hope","inr","Near Mint","English","","","2026-04-14 18:13:59.323000","482","False","False",""
